,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
6010,"3 room apartment 120 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,13,2,3,120,130975.0,Europe,5,Middle price,2010on
6013,"3 room apartment 135 m² in Yildirim, Turkey",Turkey,"Yildirim, Marmara Region, Esenevler Mahallesi, Turkey",2023,9,1,4,135,124997.0,Europe,5,Middle price,2010on
6016,"1 room studio apartment 35 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2013,9,7,1,35,96737.0,Europe,5,Low price,2010on
6018,"1 room apartment 70 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,12,12,2,70,80382.0,Europe,5,Low price,2010on
6029,"1 room apartment 48 m² in Turkey, Turkey",Turkey,Turkey,2023,7,1,2,48,114007.0,Europe,5,Middle price,2010on
6036,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,3,3,105,120649.0,Europe,5,Middle price,2010on
6041,"1 room apartment 50 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,5,2,2,50,78887.0,Europe,5,Low price,2010on
6047,"1 room apartment 50 m² in Kepez, Turkey",Turkey,"Kepez, Mediterranean Region, Turkey",2022,6,3,1,50,102495.0,Europe,5,Middle price,2010on
6049,"1 room apartment 64 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2022,6,2,2,64,108584.0,Europe,5,Middle price,2010on
6052,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,2,1,50,109982.0,Europe,5,Middle price,2010on
6054,"4 room apartment 127 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,7,6,4,127,113584.0,Europe,5,Middle price,2010on
6056,"1 room apartment 100 m² in Yalinayak, Turkey",Turkey,"Yalinayak, Toroslar, Mediterranean Region, Turkey",2024,12,11,2,100,96360.0,Europe,5,Low price,2010on
6057,"1 room apartment 59 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,4,1,2,59,96989.0,Europe,5,Low price,2010on
6060,"3 room apartment 55 m² in Kuzucu, Turkey",Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",2024,15,6,3,55,89128.0,Europe,5,Low price,2010on
6063,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2015,4,1,1,55,120008.0,Europe,5,Middle price,2010on
6069,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2022,11,1,2,55,146735.0,Europe,5,Middle price,2010on
6075,"1 room apartment 43 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,10,6,1,43,104983.0,Europe,5,Middle price,2010on
6077,"1 room apartment 85 m² in Altintas, Turkey",Turkey,"Altintas, Marmara Region, Bursa, Turkey",2021,6,4,2,85,96193.0,Europe,5,Low price,2010on
6080,"1 room apartment 45 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,8,4,2,45,102274.0,Europe,5,Middle price,2010on
6090,"1 room apartment 72 m² in Mezitli, Turkey",Turkey,"Mediterranean Region, Mezitli, Turkey",2023,14,1,1,72,86986.0,Europe,5,Low price,2010on
6105,"2 room apartment 52 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,5,2,2,52,88041.0,Europe,5,Low price,2010on
6107,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2024,8,1,2,55,93662.0,Europe,5,Low price,2010on
6109,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,8,2,2,55,90215.0,Europe,5,Low price,2010on
6110,"1 room apartment 58 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,6,1,2,58,101375.0,Europe,5,Middle price,2010on
6120,"2 room apartment 100 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2022,14,6,1,100,99983.0,Europe,5,Low price,2010on
6121,"3 room apartment 150 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,9,3,150,115214.0,Europe,5,Middle price,2010on
6122,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,1,1,50,101274.0,Europe,5,Middle price,2010on
6136,"4 room apartment 121 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,7,6,4,121,163039.0,Europe,5,Middle price,2010on
6137,"1 room apartment 50 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2021,4,3,2,50,158692.0,Europe,5,Middle price,2010on
6138,"2 room apartment 94 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2024,4,4,3,94,149022.0,Europe,5,Middle price,2010on
6140,"1 room apartment 65 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2022,5,3,2,65,137496.0,Europe,5,Middle price,2010on
6142,"1 room apartment 55 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,10,6,1,55,79759.0,Europe,5,Low price,2010on
6151,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,6,2,1,50,111688.0,Europe,5,Middle price,2010on
6155,"2 room apartment 95 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2022,5,4,3,95,108675.0,Europe,5,Middle price,2010on
6167,"2 room apartment 110 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,12,4,3,110,95000.0,Europe,5,Low price,2010on
6168,"2 room apartment 120 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2010,15,11,3,120,67933.0,Europe,5,Low price,2010on
6177,"2 room apartment 110 m² in Muratpasa, Turkey",Turkey,"Muratpasa, Mediterranean Region, Turkey",2013,4,3,3,110,122823.0,Europe,5,Middle price,2010on
6183,"3 room apartment 110 m² in Goeruekle Mahallesi, Turkey",Turkey,"Marmara Region, Goeruekle Mahallesi, Niluefer, Turkey",2024,4,1,4,110,116301.0,Europe,5,Middle price,2010on
6189,"1 room apartment 50 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2022,10,3,2,50,87498.0,Europe,5,Low price,2010on
6192,"1 room apartment 62 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2023,5,1,1,62,145647.0,Europe,5,Middle price,2010on
6198,"3 room apartment 103 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,9,8,3,103,81520.0,Europe,5,Low price,2010on
6200,"2 room apartment 65 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2020,4,1,2,65,191739.0,Europe,5,Middle price,2010on
6204,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,8,5,2,55,108979.0,Europe,5,Middle price,2010on
6205,"2 room apartment 115 m² in Sultangazi, Turkey",Turkey,"Sultangazi, Marmara Region, Turkey",2016,3,1,3,115,134779.0,Europe,5,Middle price,2010on
6207,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,8,3,105,127171.0,Europe,5,Middle price,2010on
6210,"1 room apartment 51 m² in Antalya, Turkey",Turkey,"Mediterranean Region, Antalya, Turkey",2023,3,1,2,51,104480.0,Europe,5,Middle price,2010on
6211,"3 room apartment 135 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,9,8,3,135,106247.0,Europe,5,Middle price,2010on
6213,"2 room apartment 100 m² in Dumlupinar Mahallesi, Turkey",Turkey,"Marmara Region, Dumlupinar Mahallesi, Niluefer, Turkey",2023,5,1,3,100,105976.0,Europe,5,Middle price,2010on
6222,"2 room apartment 100 m² in Turkey, Turkey",Turkey,Turkey,2019,14,14,3,100,72671.0,Europe,5,Low price,2010on
6227,"3 room apartment 100 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,5,4,3,100,114127.0,Europe,5,Middle price,2010on
6228,"1 room apartment 60 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2011,4,1,2,60,191299.0,Europe,5,Middle price,2010on
6232,"1 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,9,3,2,57,107997.0,Europe,5,Middle price,2010on
6234,"1 room apartment 100 m² in Mezitli, Turkey",Turkey,"Mediterranean Region, Mezitli, Turkey",2024,14,10,1,100,108982.0,Europe,5,Middle price,2010on
6235,"2 room apartment 100 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2011,14,5,3,100,155431.0,Europe,5,Middle price,2010on
6243,"5 room apartment 152 m² in Yesiloez, Turkey",Turkey,"Yesiloez, Mediterranean Region, Alanya, Turkey",2023,7,6,5,152,100541.0,Europe,5,Middle price,2010on
6246,"1 room studio apartment 35 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,9,7,1,35,98180.0,Europe,5,Low price,2010on
6247,"3 room apartment 105 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,7,6,3,105,78802.0,Europe,5,Low price,2010on
6256,"3 room apartment 100 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,2,3,100,117388.0,Europe,5,Middle price,2010on
6259,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2024,5,5,2,55,136885.0,Europe,5,Middle price,2010on
6260,"3 room apartment 150 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,2,3,150,108693.0,Europe,5,Middle price,2010on
6261,"2 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,10,2,2,57,151083.0,Europe,5,Middle price,2010on
6262,"3 room apartment 140 m² in Cinarcik, Turkey",Turkey,"Cinarcik, Marmara Region, Bursa, Turkey",2024,4,2,4,140,127171.0,Europe,5,Middle price,2010on
6263,"1 room apartment 58 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,8,4,2,58,122568.0,Europe,5,Middle price,2010on
6270,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,13,3,105,130431.0,Europe,5,Middle price,2010on
6272,"1 room apartment 44 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,7,5,2,44,159000.0,Europe,5,Middle price,2010on
6279,"3 room apartment 147 m² in Tuerkmen Mahallesi, Turkey",Turkey,"Aegean Region, Tuerkmen Mahallesi, Kusadasi, Turkey",2018,5,2,4,147,116981.0,Europe,5,Middle price,2010on
6280,"1 room apartment 65 m² in Marmara Region, Turkey",Turkey,"Marmara Region, Turkey",2019,1,1,2,65,109780.0,Europe,5,Middle price,2010on
6293,"1 room apartment 50 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,5,3,2,50,155431.0,Europe,5,Middle price,2010on
6301,"2 room apartment 95 m² in Kuzucu, Turkey",Turkey,"Kuzucu, Mediterranean Region, Mezitli, Turkey",2023,5,2,3,95,118475.0,Europe,5,Middle price,2010on
6302,"2 room apartment 100 m² in Yenisehir, Turkey",Turkey,"Yenisehir, Mediterranean Region, Turkey",2022,15,1,1,100,97984.0,Europe,5,Low price,2010on
6304,"1 room apartment 84 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2023,14,12,2,84,94563.0,Europe,5,Low price,2010on
6308,"1 room apartment 70 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Turkey",2015,9,8,1,70,73737.0,Europe,5,Low price,2010on
6311,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,5,2,1,50,65393.0,Europe,5,Low price,2010on
6312,"2 room apartment 58 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2024,15,5,2,58,69349.0,Europe,5,Low price,2010on
6315,"3 room apartment 150 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,6,3,150,113041.0,Europe,5,Middle price,2010on
6323,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,5,1,2,55,146360.0,Europe,5,Middle price,2010on
6325,"2 room apartment 90 m² in Sekerhane Mahallesi, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,5,1,2,90,151369.0,Europe,5,Middle price,2010on
6326,"1 room apartment 60 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2023,4,3,2,60,149996.0,Europe,5,Middle price,2010on
6329,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2022,12,10,2,55,167387.0,Europe,5,Middle price,2010on
6337,"2 room apartment 115 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2022,5,3,3,115,142520.0,Europe,5,Middle price,2010on
6340,"1 room apartment 65 m² in Merdivenlikuyu, Turkey",Turkey,"Merdivenlikuyu, Mediterranean Region, Erdemli, Turkey",2020,24,16,2,65,132000.0,Europe,5,Middle price,2010on
6344,"1 room apartment 50 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,12,2,2,50,124997.0,Europe,5,Middle price,2010on
6345,"2 room apartment 112 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2023,15,10,3,112,114466.0,Europe,5,Middle price,2010on
6346,"2 room apartment 90 m² in Yoeruekali, Turkey",Turkey,"Yoeruekali, Marmara Region, Mudanya, Turkey",2024,6,4,3,90,145648.0,Europe,5,Middle price,2010on
6351,"1 room apartment 55 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,5,2,2,55,87542.0,Europe,5,Low price,2010on
6353,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2019,5,2,1,50,121061.0,Europe,5,Middle price,2010on
6357,"2 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,10,6,2,57,210864.0,Europe,5,Middle price,2010on
6358,"1 room apartment 55 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2022,4,1,2,55,141301.0,Europe,5,Middle price,2010on
6359,"2 room apartment 110 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2012,7,2,2,110,171444.0,Europe,5,Middle price,2010on
6364,"3 room apartment 150 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,15,1,3,150,108693.0,Europe,5,Middle price,2010on
6366,"3 room apartment 145 m² in Mudanya, Turkey",Turkey,"Mudanya, Marmara Region, Bursa, Turkey",2019,4,1,4,145,147822.0,Europe,5,Middle price,2010on
6374,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2024,6,1,2,55,92272.0,Europe,5,Low price,2010on
6378,"1 room apartment 74 m² in Yalinayak, Turkey",Turkey,"Yalinayak, Toroslar, Mediterranean Region, Turkey",2024,14,1,2,74,79349.0,Europe,5,Low price,2010on
6380,"1 room apartment 66 m² in Ciftepinar, Turkey",Turkey,"Ciftepinar, Mediterranean Region, Erdemli, Turkey",2023,15,1,2,66,108693.0,Europe,5,Middle price,2010on
6393,"1 room apartment 51 m² in Incekum, Turkey",Turkey,"Incekum, Mediterranean Region, Alanya, Turkey",2023,10,10,2,51,117306.0,Europe,5,Middle price,2010on
6399,"3 room apartment 97 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,4,3,3,97,122279.0,Europe,5,Middle price,2010on
6403,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,11,3,105,130431.0,Europe,5,Middle price,2010on
6404,"2 room apartment 100 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2017,5,1,3,100,108675.0,Europe,5,Middle price,2010on
6407,"1 room apartment 55 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2022,4,1,2,55,161409.0,Europe,5,Middle price,2010on
6426,"1 room apartment 65 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2014,5,3,2,65,153039.0,Europe,5,Middle price,2010on
6427,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2024,5,1,2,50,158675.0,Europe,5,Middle price,2010on
6436,"2 room apartment 130 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2018,11,4,2,130,144546.0,Europe,5,Middle price,2010on
6437,"1 room apartment 70 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2013,7,4,2,70,140214.0,Europe,5,Middle price,2010on
6439,"2 room apartment 49 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,7,2,49,179343.0,Europe,5,Middle price,2010on
6443,"1 room apartment 81 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2024,14,2,2,81,101298.0,Europe,5,Middle price,2010on
6444,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2024,5,3,1,55,113819.0,Europe,5,Middle price,2010on
6447,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,13,3,105,132605.0,Europe,5,Middle price,2010on
6450,"1 room apartment 51 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,4,2,2,51,144626.0,Europe,5,Middle price,2010on
6452,"2 room apartment 177 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2022,9,8,3,177,352766.0,Europe,5,Middle price,2010on
6457,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,4,2,1,50,123850.0,Europe,5,Middle price,2010on
6458,"1 room apartment 60 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2023,7,4,2,60,119562.0,Europe,5,Middle price,2010on
6460,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,5,3,105,122823.0,Europe,5,Middle price,2010on
6461,"3 room apartment 105 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,5,3,105,123910.0,Europe,5,Middle price,2010on
6462,"Penthouse 2 bedrooms 122 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,5,4,3,122,151475.0,Europe,5,Middle price,2010on
6469,"1 room apartment 45 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2020,12,10,2,45,96600.0,Europe,5,Low price,2010on
6474,"2 room apartment 85 m² in Yalova merkez, Turkey",Turkey,"Marmara Region, Yalova merkez, Turkey",2023,3,1,3,85,92389.0,Europe,5,Low price,2010on
6482,"3 room apartment 130 m² in Ciplakli, Turkey",Turkey,"Ciplakli, Mediterranean Region, Alanya, Turkey",2023,5,2,3,130,228255.0,Europe,5,Middle price,2010on
6483,"1 room apartment 63 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,6,1,1,63,119049.0,Europe,5,Middle price,2010on
6490,"1 room apartment 55 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2022,6,1,2,55,140214.0,Europe,5,Middle price,2010on
6492,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2021,5,2,2,55,139127.0,Europe,5,Middle price,2010on
6494,"1 room apartment 55 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,4,1,2,55,215212.0,Europe,5,Middle price,2010on
6497,"1 room apartment 49 m² in Payallar, Turkey",Turkey,"Payallar, Mediterranean Region, Alanya, Turkey",2023,7,7,2,49,120060.0,Europe,5,Middle price,2010on
6499,"3 room apartment 85 m² in Gazipasa, Turkey",Turkey,"Mediterranean Region, Gazipasa, Turkey",2023,6,5,3,85,114127.0,Europe,5,Middle price,2010on
6500,"1 room apartment 56 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,12,10,2,56,145105.0,Europe,5,Middle price,2010on
6504,"2 room apartment 57 m² in Kagithane, Turkey",Turkey,"Kagithane, Marmara Region, Turkey",2020,9,1,2,57,105705.0,Europe,5,Middle price,2010on
6509,"2 room apartment 90 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,5,1,2,90,151369.0,Europe,5,Middle price,2010on
6510,"2 room apartment 57 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,4,2,57,158692.0,Europe,5,Middle price,2010on
6511,"2 room apartment 125 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2010,10,2,3,125,209234.0,Europe,5,Middle price,2010on
6515,"1 room apartment 70 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2019,12,10,2,70,278797.0,Europe,5,Middle price,2010on
6516,"1 room apartment 55 m² in Yalci, Turkey",Turkey,"Yalci, Mediterranean Region, Alanya, Turkey",2020,5,3,2,55,256515.0,Europe,5,Middle price,2010on
6526,"3 room apartment 115 m² in Mezitli, Turkey",Turkey,"Mezitli, Mediterranean Region, Mersin, Turkey",2022,14,7,1,115,121980.0,Europe,5,Middle price,2010on
6528,"2 room apartment 89 m² in Mersin, Turkey",Turkey,"Mediterranean Region, Mersin, Turkey",2023,14,1,3,89,97530.0,Europe,5,Low price,2010on
6533,"1 room apartment 60 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2022,13,13,2,60,163039.0,Europe,5,Middle price,2010on
6537,"1 room apartment 60 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2023,5,4,1,60,156230.0,Europe,5,Middle price,2010on
6538,"1 room apartment 55 m² in Mediterranean Region, Turkey",Turkey,"Mediterranean Region, Turkey",2023,8,5,1,55,185585.0,Europe,5,Middle price,2010on
6540,"1 room apartment 36 m² in Istanbul, Turkey",Turkey,"Marmara Region, Istanbul, Turkey",2024,7,1,1,36,214213.0,Europe,5,Middle price,2010on
6548,"2 room apartment 75 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,6,2,75,122823.0,Europe,5,Middle price,2010on
6550,"1 room apartment 53 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,11,7,2,53,150000.0,Europe,5,Middle price,2010on
6551,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,11,8,2,55,131518.0,Europe,5,Middle price,2010on
6555,"1 room apartment 48 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2024,5,2,2,48,151602.0,Europe,5,Middle price,2010on
6560,"1 room apartment 60 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2022,5,1,2,60,161952.0,Europe,5,Middle price,2010on
6564,"1 room apartment 60 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2020,5,3,2,60,155431.0,Europe,5,Middle price,2010on
6569,"Penthouse 2 bedrooms 115 m² in Konakli, Turkey",Turkey,"Konakli, Mediterranean Region, Alanya, Turkey",2024,5,5,3,115,239124.0,Europe,5,Middle price,2010on
6570,"4 room apartment 160 m² in Elvanli, Turkey",Turkey,"Elvanli, Mediterranean Region, Mersin, Turkey",2024,16,2,4,160,244559.0,Europe,5,Middle price,2010on
6571,"5 room apartment 165 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2023,4,3,5,165,244559.0,Europe,5,Middle price,2010on
6574,"2 room apartment 120 m² in Akarca, Turkey",Turkey,"Akarca, Central Anatolia Region, Turkey",2020,5,3,3,120,222820.0,Europe,5,Middle price,2010on
6577,"2 room apartment 56 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2024,9,4,2,56,159778.0,Europe,5,Middle price,2010on
6578,"1 room apartment 50 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Sekerhane Mahallesi, Alanya, Turkey",2015,5,2,2,50,195647.0,Europe,5,Middle price,2010on
6587,"Penthouse 2 bedrooms 136 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2015,5,4,3,136,185183.0,Europe,5,Middle price,2010on
6591,"1 room apartment 46 m² in Alanya, Turkey",Turkey,"Mediterranean Region, Alanya, Turkey",2023,7,1,2,46,118463.0,Europe,5,Middle price,2010on
6594,"4 room apartment 220 m² in Turkey, Turkey",Turkey,Turkey,2022,11,5,5,220,157155.0,Europe,5,Middle price,2010on
6596,"1 room apartment 55 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2023,9,2,2,55,135866.0,Europe,5,Middle price,2010on
6601,"1 room apartment 55 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2022,5,3,2,55,173365.0,Europe,5,Middle price,2010on
6602,"1 room apartment 55 m² in Karakocali, Turkey",Turkey,"Karakocali, Mediterranean Region, Alanya, Turkey",2024,12,2,2,55,233678.0,Europe,5,Middle price,2010on
6607,"1 room apartment 60 m² in Mahmutlar, Turkey",Turkey,"Mahmutlar, Mediterranean Region, Alanya, Turkey",2022,13,2,2,60,145307.0,Europe,5,Middle price,2010on
6609,"1 room apartment 50 m² in Avsallar, Turkey",Turkey,"Avsallar, Mediterranean Region, Alanya, Turkey",2022,10,4,2,50,130431.0,Europe,5,Middle price,2010on
6615,"2 room apartment 95 m² in Mezitli, Turkey",Turkey,"Mediterranean Region, Mezitli, Turkey",2022,14,6,1,95,109982.0,Europe,5,Middle price,2010on
