,Title,Country,Location,Year,Total_Floors,Apart_Floors,Apart_Rooms,Total_Area,Price,Continent,C-Code,Price_category,Time_Period
27470,"3 room apartment 70 m² in Aliachnovicki sielski Saviet, Belarus",Belarus,"Minsk Region, Aliachnovicki sielski Saviet, Maladzyechna District, Belarus",1982,2,2,3,70,19900.0,Europe,5,Low price,1950-2000
27471,"3 room apartment 50 m² in Lida, Belarus",Belarus,"Hrodna Region, Lida, Lida District, Belarus",1971,5,1,3,50,31000.0,Europe,5,Low price,1950-2000
27472,"2 room apartment 47 m² in Brest, Belarus",Belarus,"Brest Region, Brest, Belarus",1991,5,5,2,47,28500.0,Europe,5,Low price,1950-2000
27473,"3 room apartment 60 m² in Sluck, Belarus",Belarus,"Sluck, Minsk Region, Slutsk District, Belarus",1980,9,9,3,60,29900.0,Europe,5,Low price,1950-2000
27474,"2 room apartment 59 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2021,25,3,2,59,84450.0,Europe,5,Low price,2010on
27475,"2 room apartment 50 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",1980,9,3,2,50,87000.0,Europe,5,Low price,1950-2000
27476,"3 room apartment 63 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",1973,9,6,3,63,38000.0,Europe,5,Low price,1950-2000
27477,"1 room apartment 58 m² in Kopisca, Belarus",Belarus,"Kopisca, Minsk Region, Baraulianski sielski Saviet, Minsk District, Belarus",2024,6,6,1,58,79970.0,Europe,5,Low price,2010on
27478,"2 room apartment 51 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2022,9,2,2,51,89900.0,Europe,5,Low price,2010on
27479,"3 room apartment 81 m² in Homel, Belarus",Belarus,"Homel Region, Homel, Belarus",2016,16,6,3,81,70000.0,Europe,5,Low price,2010on
27480,"2 room apartment 60 m² in Mahilyow, Belarus",Belarus,"Mahilyow Region, Mahilyow, Belarus",2023,16,15,2,60,69978.0,Europe,5,Low price,2010on
27481,"1 room apartment 45 m² in Minsk, Belarus",Belarus,"Minsk, Belarus",2020,9,3,1,45,86500.0,Europe,5,Low price,2010on
