,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
57313,"1 room apartment 29 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,7.0,3.0,1.0,29.0,85056.0,Asia
57315,"4 room apartment 69 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,17.0,4.0,69.0,169011.0,Asia
57316,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,11.0,1.0,23.0,92444.0,Asia
57318,"2 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,19.0,14.0,2.0,53.0,133584.0,Asia
57319,"1 room apartment 33 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,13.0,1.0,33.0,109410.0,Asia
57320,"2 room apartment 46 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,9.0,7.0,2.0,46.0,120446.0,Asia
57321,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,11.0,1.0,23.0,78565.0,Asia
57323,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,7.0,2.0,59.0,150221.0,Asia
57324,"1 room apartment 20 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,14.0,1.0,20.0,79436.0,Asia
57326,"2 room apartment 45 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,8.0,2.0,45.0,119001.0,Asia
57328,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,16.0,1.0,36.0,119554.0,Asia
57329,"1 room apartment 23 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,13.0,1.0,23.0,80831.0,Asia
57330,"3 room apartment 79 m² in Krasnoye Selo, Russia",Russia,"Krasnoye Selo, Northwestern Federal District, Krasnoselskiy rayon, Russia",2026,9.0,7.0,3.0,79.0,90512.0,Asia
57331,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,2.0,2.0,39.0,121184.0,Asia
57334,"3 room apartment 73 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,2.0,3.0,73.0,155798.0,Asia
57336,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,11.0,2.0,40.0,122459.0,Asia
57339,"2 room apartment 50 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,2.0,2.0,50.0,122090.0,Asia
57340,"3 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,6.0,3.0,64.0,152272.0,Asia
57341,"3 room apartment 76 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,4.0,3.0,76.0,166590.0,Asia
57343,"2 room apartment 46 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,7.0,2.0,46.0,129241.0,Asia
57344,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,7.0,2.0,39.0,117202.0,Asia
57345,"3 room apartment 55 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,8.0,3.0,55.0,160065.0,Asia
57346,"1 room apartment 34 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,8.0,1.0,34.0,104787.0,Asia
57347,"1 room apartment 24 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,8.0,1.0,24.0,80067.0,Asia
57348,"2 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,6.0,2.0,36.0,100666.0,Asia
57349,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,10.0,2.0,40.0,121137.0,Asia
57350,"1 room apartment 38 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,2.0,1.0,38.0,101084.0,Asia
57352,"4 room apartment 64 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,4.0,4.0,64.0,157142.0,Asia
57353,"2 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,12.0,2.0,36.0,113581.0,Asia
57354,"2 room apartment 59 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,13.0,2.0,59.0,153884.0,Asia
57355,"2 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,9.0,2.0,37.0,112039.0,Asia
57358,"1 room apartment 24 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,8.0,1.0,24.0,82802.0,Asia
57359,"1 room apartment 29 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,2.0,1.0,29.0,79125.0,Asia
57360,"2 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,12.0,2.0,37.0,127048.0,Asia
57361,"4 room apartment 76 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,9.0,4.0,76.0,142770.0,Asia
57363,"1 room apartment 24 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,16.0,1.0,24.0,84083.0,Asia
57364,"1 room apartment 30 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,10.0,1.0,30.0,100412.0,Asia
57365,"2 room apartment 39 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,5.0,2.0,39.0,104642.0,Asia
57366,"2 room apartment 49 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,10.0,2.0,49.0,133264.0,Asia
57367,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,8.0,7.0,1.0,36.0,95107.0,Asia
57368,"4 room apartment 73 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,9.0,4.0,73.0,154901.0,Asia
57369,"4 room apartment 85 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,3.0,4.0,85.0,180130.0,Asia
57370,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,6.0,2.0,40.0,98395.0,Asia
57371,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,2.0,39.0,123213.0,Asia
57372,"1 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,9.0,1.0,37.0,109709.0,Asia
57375,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,8.0,2.0,40.0,108187.0,Asia
57376,"1 room apartment 22 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,15.0,1.0,22.0,80952.0,Asia
57378,"2 room apartment 55 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,8.0,4.0,2.0,55.0,127882.0,Asia
57379,"1 room apartment 24 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,6.0,1.0,24.0,80148.0,Asia
57380,"2 room apartment 49 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,14.0,2.0,49.0,127716.0,Asia
57381,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,2.0,2.0,40.0,106066.0,Asia
57382,"1 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,10.0,1.0,38.0,115981.0,Asia
57383,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,10.0,1.0,23.0,87473.0,Asia
57385,"3 room apartment 74 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,13.0,3.0,74.0,171737.0,Asia
57386,"3 room apartment 76 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,22.0,3.0,76.0,193911.0,Asia
57387,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,12.0,1.0,23.0,87877.0,Asia
57389,"2 room apartment 41 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,13.0,2.0,41.0,111307.0,Asia
57390,"2 room apartment 42 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,19.0,3.0,2.0,42.0,107177.0,Asia
57391,"2 room apartment 41 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,17.0,2.0,41.0,107387.0,Asia
57394,"1 room apartment 24 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,11.0,1.0,24.0,84309.0,Asia
57395,"1 room apartment 23 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,16.0,1.0,23.0,91343.0,Asia
57397,"3 room apartment 80 m² in Krasnoye Selo, Russia",Russia,"Krasnoye Selo, Northwestern Federal District, Krasnoselskiy rayon, Russia",2026,11.0,11.0,3.0,80.0,107826.0,Asia
57399,"2 room apartment 47 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,14.0,2.0,47.0,130196.0,Asia
57400,"1 room apartment 21 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,23.0,1.0,21.0,78411.0,Asia
57401,"2 room apartment 50 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,4.0,2.0,50.0,122440.0,Asia
57402,"2 room apartment 50 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,2.0,50.0,133786.0,Asia
57403,"2 room apartment 44 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,2.0,2.0,44.0,100079.0,Asia
57404,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,13.0,1.0,23.0,85066.0,Asia
57405,"1 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,3.0,1.0,37.0,114215.0,Asia
57407,"2 room apartment 51 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,5.0,2.0,51.0,117665.0,Asia
57408,"1 room apartment 35 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,9.0,6.0,1.0,35.0,95581.0,Asia
57409,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,16.0,2.0,40.0,135733.0,Asia
57410,"1 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,4.0,1.0,37.0,126818.0,Asia
57411,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,13.0,3.0,60.0,128588.0,Asia
57412,"1 room apartment 19 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,14.0,1.0,19.0,82872.0,Asia
57414,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,1.0,36.0,96758.0,Asia
57415,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,9.0,2.0,52.0,126809.0,Asia
57416,"2 room apartment 39 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,7.0,2.0,39.0,111307.0,Asia
57417,"3 room apartment 69 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,15.0,3.0,69.0,146479.0,Asia
57418,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,6.0,2.0,52.0,125581.0,Asia
57420,"2 room apartment 42 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,2.0,42.0,134652.0,Asia
57422,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,24.0,1.0,34.0,108352.0,Asia
57423,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,24.0,1.0,34.0,110475.0,Asia
57424,"1 room apartment 33 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,10.0,1.0,33.0,115361.0,Asia
57425,"1 room apartment 29 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,7.0,1.0,29.0,94246.0,Asia
57426,"2 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,9.0,2.0,38.0,119926.0,Asia
57427,"2 room apartment 42 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,8.0,2.0,42.0,118822.0,Asia
57428,"1 room apartment 30 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,8.0,1.0,30.0,112490.0,Asia
57429,"1 room apartment 23 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,18.0,1.0,23.0,90419.0,Asia
57432,"1 room apartment 24 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,1.0,24.0,89658.0,Asia
57433,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,10.0,2.0,39.0,105992.0,Asia
57435,"2 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,22.0,2.0,36.0,115266.0,Asia
57443,"2 room apartment 51 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,9.0,2.0,51.0,117689.0,Asia
57445,"2 room apartment 39 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,8.0,2.0,39.0,106295.0,Asia
57446,"1 room apartment 24 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,15.0,1.0,24.0,94151.0,Asia
57447,"1 room apartment 25 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,7.0,1.0,25.0,89790.0,Asia
57448,"1 room apartment 24 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,11.0,1.0,24.0,72233.0,Asia
57450,"2 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,9.0,2.0,36.0,102155.0,Asia
57452,"2 room apartment 41 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,6.0,2.0,41.0,116470.0,Asia
57453,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,5.0,1.0,34.0,92555.0,Asia
57454,"3 room apartment 55 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,12.0,3.0,55.0,163092.0,Asia
57455,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,9.0,2.0,52.0,133420.0,Asia
57456,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,14.0,1.0,36.0,105893.0,Asia
57458,"3 room apartment 76 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,15.0,3.0,76.0,392275.0,Asia
57459,"2 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,10.0,4.0,2.0,53.0,127190.0,Asia
57461,"1 room apartment 30 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,11.0,1.0,30.0,113818.0,Asia
57462,"2 room apartment 53 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,3.0,2.0,53.0,128819.0,Asia
57464,"2 room apartment 37 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,16.0,2.0,37.0,109455.0,Asia
57467,"3 room apartment 60 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,7.0,3.0,60.0,158773.0,Asia
57468,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,12.0,1.0,34.0,105270.0,Asia
57469,"1 room apartment 26 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,3.0,1.0,26.0,83985.0,Asia
57470,"3 room apartment 79 m² in Krasnoye Selo, Russia",Russia,"Krasnoye Selo, Northwestern Federal District, Krasnoselskiy rayon, Russia",2025,9.0,9.0,3.0,79.0,98013.0,Asia
57471,"2 room apartment 59 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,2.0,2.0,59.0,146378.0,Asia
57472,"1 room apartment 39 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,11.0,1.0,39.0,110709.0,Asia
57473,"3 room apartment 69 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,11.0,3.0,69.0,151751.0,Asia
57475,"4 room apartment 73 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,19.0,14.0,4.0,73.0,151971.0,Asia
57477,"1 room apartment 25 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,4.0,1.0,25.0,82638.0,Asia
57478,"1 room apartment 34 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,24.0,19.0,1.0,34.0,108435.0,Asia
57479,"2 room apartment 85 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,2.0,2.0,85.0,197542.0,Asia
57481,"1 room apartment 37 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,7.0,1.0,37.0,104163.0,Asia
57482,"1 room apartment 24 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,10.0,1.0,24.0,82737.0,Asia
57483,"2 room apartment 44 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,17.0,2.0,44.0,119910.0,Asia
57484,"2 room apartment 40 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,8.0,4.0,2.0,40.0,94974.0,Asia
57485,"1 room apartment 36 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,5.0,1.0,36.0,100450.0,Asia
57489,"3 room apartment 61 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,12.0,3.0,61.0,174926.0,Asia
57490,"3 room apartment 66 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,4.0,3.0,66.0,200931.0,Asia
57492,"3 room apartment 76 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,18.0,3.0,76.0,186686.0,Asia
57493,"1 room apartment 21 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,7.0,1.0,21.0,89785.0,Asia
57497,"4 room apartment 97 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,21.0,20.0,4.0,97.0,224570.0,Asia
57498,"1 room apartment 24 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,7.0,1.0,24.0,80535.0,Asia
57499,"1 room apartment 23 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,18.0,8.0,1.0,23.0,79072.0,Asia
57500,"1 room apartment 36 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,11.0,1.0,36.0,121602.0,Asia
57501,"1 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,2.0,1.0,38.0,94819.0,Asia
57502,"3 room apartment 78 m² in Krasnoye Selo, Russia",Russia,"Krasnoye Selo, Northwestern Federal District, Krasnoselskiy rayon, Russia",2026,11.0,4.0,3.0,78.0,105719.0,Asia
