,title,country,location,building_construction_year,building_total_floors,apartment_floor,apartment_rooms,apartment_total_area,price_in_USD,Continent
63122,"3 room apartment 80 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,15.0,3.0,80.0,362180.0,Asia
63123,"4 room apartment 75 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,10.0,4.0,75.0,190967.0,Asia
63124,"4 room apartment 81 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,3.0,4.0,81.0,195575.0,Asia
63127,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,16.0,7.0,2.0,54.0,143381.0,Asia
63128,"4 room apartment 77 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,21.0,4.0,77.0,183845.0,Asia
63129,"2 room apartment 38 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,12.0,2.0,38.0,130641.0,Asia
63139,"3 room apartment 76 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,17.0,3.0,76.0,185371.0,Asia
63151,"4 room apartment 167 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,16.0,4.0,167.0,794068.0,Asia
63162,"4 room apartment 87 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,12.0,4.0,87.0,422414.0,Asia
63185,"5 room apartment 145 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2026,16.0,16.0,5.0,145.0,742764.0,Asia
63254,"4 room apartment 141 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,26.0,17.0,4.0,141.0,1428495.0,Asia
63284,"3 room apartment 68 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,14.0,6.0,3.0,68.0,173026.0,Asia
63285,"4 room apartment 94 m² in Kommunarka, Russia",Russia,"Kommunarka, Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,10.0,4.0,94.0,229125.0,Asia
63288,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,12.0,7.0,2.0,52.0,138528.0,Asia
63289,"3 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,13.0,3.0,53.0,156237.0,Asia
63290,"2 room apartment 52 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,17.0,13.0,2.0,52.0,129045.0,Asia
63295,"2 room apartment 52 m² in Moscow, Russia",Russia,"Central Federal District, Moscow, Central Administrative Okrug, Russia",2025,30.0,12.0,2.0,52.0,138632.0,Asia
63301,"4 room apartment 96 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,21.0,17.0,4.0,96.0,217896.0,Asia
63304,"4 room apartment 83 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,5.0,4.0,83.0,197430.0,Asia
63306,"4 room apartment 82 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,8.0,4.0,82.0,197436.0,Asia
63307,"3 room apartment 66 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,3.0,3.0,66.0,205084.0,Asia
63308,"4 room apartment 97 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,21.0,6.0,4.0,97.0,207050.0,Asia
63318,"4 room apartment 74 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,10.0,4.0,74.0,212337.0,Asia
63321,"3 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,15.0,14.0,3.0,53.0,135667.0,Asia
63322,"4 room apartment 87 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,16.0,2.0,4.0,87.0,212642.0,Asia
63323,"2 room apartment 54 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2026,14.0,6.0,2.0,54.0,128090.0,Asia
63325,"3 room apartment 53 m² in poselenie Sosenskoe, Russia",Russia,"Central Federal District, poselenie Sosenskoe, Novomoskovsky Administrative Okrug, Russia",2025,18.0,14.0,3.0,53.0,171871.0,Asia
